id,appid,developer
5480,352550,Reborn Games
5481,352580,Lost Spell
5482,352610,ebi-hime
5483,352620,Big Green Pillow
5484,352640,"Daniel Linssen, Detective, Ditto, Glitchnap, Shark Jump Studios"
5485,352700,"Virgin Interactive Entertainment, PriitK"
5486,352720,Crytivo
5487,352740,Nekomura Games
5488,352750,TaxSoft
5489,352760,Mechabit Ltd
5490,352780,Kidalang
5491,352790,MixedBag Srl
5492,352810,ImCyan
5493,352850,DSK Studios Pvt. Ltd
5494,352890,it Matters Games
5495,352900,Black Forest Games
5496,352950,Odin Game Studio
5497,352960,Orbital Knight
5498,353070,Anarchy Enterprises
5499,353080,Anarchy Enterprises
5500,353090,InterAction studios
5501,353110,Shaman Games Studio
5502,353130,4 I Lab
5503,353190,Slipgate Ironworks™
5504,353260,"Jorge Lima, Alexandre Fontoura"
5505,353270,"Idea Factory, Compile Heart, Felistella"
5506,353280,Vectorpark
5507,353300,Stephen Lawrence Clark
5508,353330,Creepy Cute
5509,353340,Substantial
5510,353360,"Nina Freeman, Emmett Butler, Decky Coss, Joni Kittaka"
5511,353540,increpare games
5512,353550,Rosebud Games
5513,353560,"Mario von Rickenbach, Michael Frei"
5514,353580,Slipgate Ironworks™
5515,353600,Point2Point Entertainment
5516,353610,"Automata Source, Quirkafleeg"
5517,353630,Crafty Studios
5518,353640,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy"
5519,353700,ACE Team
5520,353790,Charybdis Ltd
5521,353890,"Big Ant Studios, Crosse Studios"
5522,353940,HandyGames
5523,353980,Deck13
5524,353990,Bearded Bird Game Studio
5525,354030,Fun Infused Games
5526,354040,Fun Infused Games
5527,354050,"Escape Hatch Entertainment,LLC"
5528,354140,Scott Cawthon
5529,354160,KT Racing
5530,354180,Nightly Studios
5531,354200,"Jarbit, Castle art by Yuriy Gusev"
5532,354230,Nerial
5533,354240,Four Quarters
5534,354280,CashcowGames
5535,354290,"CRAZYDIAMOND CO., LTD."
5536,354310,Alawar Entertainment
5537,354380,Climax Studios
5538,354400,BitFinity
5539,354430,Lucasfim
5540,354560,Pwnee Studios
5541,354600,VR Designs
5542,354620,Heartbit Interactive
5543,354640,Blue Byte
5544,354650,Zandel Media
5545,354680,Rumpus
5546,354690,Ethereal Darkness Interactive
5547,354720,Ethereal Darkness Interactive
5548,354730,Dancing Dragon Games
5549,354740,Dancing Dragon Games
5550,354770,Aaron Arcand
5551,354810,mamoniem
5552,354820,ValuSoft
5553,354860,"NinjaISV, TigerNDV"
5554,354920,Flump Studios
5555,354930,Titan Forged Games
5556,354950,roseVeRte
5557,354960,Blaze Epic
5558,354970,Blaze Epic
5559,355000,SecureMix LLC
5560,355010,Iceflake Studios
5561,355020,Finalboss game studio
5562,355050,Infinite Dreams
5563,355060,Milestone S.r.l.
5564,355070,Javelin OÜ
5565,355080,Ars Creativa
5566,355090,Modern Paradise Media Inc.
5567,355100,Drowning Monkeys Games
5568,355120,Smit Parmar
5569,355130,Milestone S.r.l.
5570,355140,Donut Games
5571,355150,
5572,355170,Lucasfilm
5573,355180,Hoobalugalar_X
5574,355190,Anarchy Interactive
5575,355230,The Department of Silly Stuff
5576,355240,Nussoft
5577,355250,Totally Games
5578,355270,Evan Tognotti
5579,355280,Crazy Goat Games
5580,355310,Suppressive Fire Games
5581,355330,PlayWay SA
5582,355350,Critical Bit
5583,355370,Razbury Games
5584,355380,14Dimension Enterprise
5585,355400,LLC Intenzibne
5586,355410,Lukas Jaeckel
5587,355420,HYDEZEKE
5588,355430,Rail Slave Games
5589,355460,Innervision Games
5590,355490,"Storm Isle Productions, Polywickstudio"
5591,355500,Leadwerks Software
5592,355510,jemchicomac
5593,355520,Cherry Co. Studios
5594,355530,Twelve Tiles
5595,355560,EfrenStudios
5596,355570,AV media lab
5597,355630,1337 &amp; Senri AB
5598,355650,Little World Studio
5599,355670,Top3Line
5600,355690,Chashu Entertainment
5601,355760,Tonguç Bodur
5602,355790,Cyanide Studio
5603,355800,Passtech Games
5604,355810,LW Games
5605,355820,Milkbag Games
5606,355840,Vostok Games
5607,355860,Ape Law
5608,355910,Fixpoint Productions
5609,355920,DL Softworks
5610,355970,David Wehle
5611,355980,Valsar
5612,356000,Choice of Games
5613,356040,"Unicube, Team 17 Digital Ltd"
5614,356050,"Tiger and Squid, Team17 Digital Ltd"
5615,356070,Orlyapps
5616,356090,Lohika Games
5617,356100,radiostatic
5618,356110,Da Picky Monkey
5619,356130,Icy Donut
5620,356160,Hooligans Entertainment
5621,356170,7 Soft Pillows
5622,356180,Minority Media Inc.
5623,356190,Monolith Productions
5624,356210,Nayma Software
5625,356250,A Stranger Gravity
5626,356260,DTF games
5627,356270,G5 Software
5628,356280,Arise
5629,356290,G5 Software
5630,356310,SNK CORPORATION
5631,356370,Soccer Manager Ltd
5632,356380,Brainchild
5633,356390,Brainchild
5634,356400,Drool
5635,356420,Monogon Games
5636,356430,Chris Sawyer
5637,356450,Nostalgia
5638,356460,different cloth
5639,356500,Ensemble Studios
5640,356510,Stamina-Games
5641,356520,Underdog Games
5642,356530,Hanako Games
5643,356540,roseVeRte
5644,356550,roseVeRte
5645,356560,roseVeRte
5646,356570,"Pinokl Games, Kverta"
5647,356580,ektomarch
5648,356650,White Rabbit
5649,356670,Lag Studios
5650,356710,Kiritsu Games
5651,356730,"LearnDistrict Inc., The Negatives"
5652,356770,Astrosimer
5653,356790,Puny Human
5654,356800,Choice of Games
5655,356870,CRACKED PISTON LLC 2014
5656,356880,David Mulder
5657,356890,SMG Studio
5658,356910,"Arc System Works, DotEmu"
5659,356940,MAGIX Software GmbH
5660,357010,Shortbreak Studios s.c.
5661,357030,Tesseract Interactive
5662,357070,Walter Machado
5663,357120,Double Stallion Games
5664,357190,"CAPCOM CO., LTD."
5665,357200,Poorwill Games
5666,357290,Talentplace
5667,357300,Noumenon Games
5668,357310,Shining Pixel Studios
5669,357320,Craig Gibbs
5670,357330,nornware AB
5671,357340,Oxeye Game Studio
5672,357370,Michael Lückgen
5673,357480,SuperVillain Studios
5674,357490,Hungry Planet Games
5675,357500,NIMONIX
5676,357600,Kittehface Software
5677,357650,Sebastian Nigro
5678,357670,The Stork Burnt Down
5679,357690,RIP Studios LLC
5680,357700,Rocktastic Games
5681,357720,Seaven Studio
5682,357730,Viewpoint Games
5683,357750,Luis Ruiz
5684,357770,DistrictTeam
5685,357780,Alda Games
5686,357830,Timedrop Studios
5687,357840,Lunagames
5688,357890,KaleidoGames
5689,357900,Sometimes You
5690,357910,Fivang
5691,357920,Ghost Machine
5692,357930,reMaginarium
5693,357940,Sinister Design
5694,358000,On The Level Game Studios
5695,358030,Vision Riders Entertainment
5696,358070,Eric Hornby
5697,358080,"ColloseusX, cpmilan"
5698,358090,Access Games
5699,358130,Maschinen-Mensch
5700,358170,3D Realms (Apogee Software)
5701,358180,3D Realms (Apogee Software)
5702,358190,JAM Productions
5703,358200,Redwood Games
5704,358210,3D Realms (Apogee Software)
5705,358220,Animation F/X
5706,358230,3D Realms (Apogee Software)
5707,358240,3D Realms (Apogee Software)
5708,358250,3D Realms (Apogee Software)
5709,358260,3D Realms (Apogee Software)
5710,358270,Remedy
5711,358280,"Interactive Binary Illusions, SubZero Software"
5712,358290,Moonlite Software
5713,358300,3D Realms (Apogee Software)
5714,358310,JAM Productions
5715,358320,3D Realms (Apogee Software)
5716,358330,3D Realms (Apogee Software)
5717,358340,Redwood Games
5718,358350,3D Realms (Apogee Software)
5719,358360,Cygnus Studios
5720,358370,Terminal Reality
5721,358380,Beavis Soft
5722,358390,3D Realms
5723,358400,3D Realms (Apogee Software)
5724,358410,3D Realms (Apogee Software)
5725,358420,Argo Games
5726,358440,Scenario Software
5727,358460,Nomad Games
5728,358610,Aleksander Ciesielski
5729,358650,Cyber Rhino Studios
5730,358700,Robert Dahlenburg
5731,358750,Love in Space
5732,358760,Fastermind Games
5733,358770,Lupiesoft
5734,358810,Duckbridge
5735,358830,Pyrodactyl
5736,358840,Guerrilla Bandit
5737,358960,"Finji, Kittehface Software"
5738,359040,David Szymanski
5739,359050,marbenx
5740,359060,Atomicom Limited
5741,359070,Hunter Gatherer Games
5742,359090,Prexen Studios
5743,359100,Toxic Games
5744,359140,Anarchy Enterprises
5745,359160,Undead Yeti Software
5746,359190,Tymon Zgainski
5747,359220,Rainbow Studios
5748,359230,Triskell Interactive
5749,359250,Absolutist Ltd.
5750,359260,Absolutist Ltd.
5751,359280,Orangepixel
5752,359300,Singe Studio
5753,359310,Shiro Games
5754,359320,Frontier Developments
5755,359340,DL Softworks
5756,359350,Freshly Squeezed
5757,359370,Team Eyepatch
5758,359390,"Idea Factory, Design Factory"
5759,359400,Peltast Software
5760,359420,Presto Studios
5761,359440,bluffman
5762,359450,Forge Reply srl
5763,359550,Ubisoft Montreal
5764,359560,Cosmic Logic
5765,359580,Cowardly Creations
5766,359600,Climax Studios
5767,359610,Climax Studios
5768,359620,Infogrames
5769,359630,Particle Systems Ltd.
5770,359650,Interplay Entertainment Corp.
5771,359670,Warfare Studios
5772,359800,Reiza Studios
5773,359810,RunServer
5774,359840,Klonk Games
5775,359870,Square Enix
5776,359900,NeocoreGames
5777,359920,Burrito Studio
5778,359940,Andrii Vintsevych
5779,359960,Studio Bean
5780,360010,Team Isolation
5781,360030,Swinfjord-Games
5782,360040,Lord Bytesworth
5783,360150,Eko Software
5784,360170,Eko Software
5785,360380,Estelion
5786,360390,OMNIDREAM CREATIONS
5787,360400,Tobop Productions
5788,360430,"Hangar 13, Aspyr (Mac)"
5789,360450,Absorb Reality
5790,360510,Fugitive Games
5791,360520,EmpI Studios
5792,360530,Vertex Pop
5793,360550,InvertMouse
5794,360580,Fun Infused Games
5795,360590,Gamestarters
5796,360600,SpookyFish Games
5797,360620,Frogsong Studios AB
5798,360640,"Jetdogs Studios, Zoom Out Games"
5799,360650,"Jetdogs Studios, Zoom Out Games"
5800,360680,Isaac Nichols
5801,360720,Tiny Utopia
5802,360730,Red Team Games
5803,360740,Moppin
5804,360750,Casualogic
5805,360830,Playtonic Games
5806,360840,Speelbaars
5807,360850,Dubrovkin Sergei
5808,360870,Tigerish Games
5809,360880,"Zeenoh, 7 Seals"
5810,360890,"AndrewDrumov, Sanke Berdochan"
5811,360940,"Virtual Basement LLC, Code Headquarters LLC"
5812,360970,Fabio Ferrara
5813,360990,SmashMouth Games Ltd
5814,361020,MumboJumbo
5815,361040,Heartbit Interactive
5816,361100,Stun Games
5817,361110,Magical Hackers
5818,361130,Playtap Games
5819,361160,Risen Phoenix Studios
5820,361190,Forever Entertainment S. A.
5821,361200,Reality Twist GmbH
5822,361230,Dan &amp; Gary Games
5823,361250,Mayhem Games USA
5824,361280,Gamious
5825,361300,Le Cartel Studio
5826,361320,Hothouse Creations Ltd
5827,361330,Immersive Douro
5828,361350,Megastorm Games
5829,361360,WayForward
5830,361370,Game Mechanic Studios
5831,361380,Dark Fox
5832,361420,System Era Softworks
5833,361430,Game Studio Abraham Stolk Inc.
5834,361550,Flying Cafe for Semianimals
5835,361560,Dolores Entertainment
5836,361600,Vovoid Media Technologies AB
5837,361620,Artur Mandas
5838,361630,Retro Yeti Games
5839,361670,Totally Games
5840,361680,MK-ULTRA Games
5841,361690,Totally Games
5842,361800,oddonegames
5843,361830,Ed Curtis-Sivess
5844,361850,8Floor
5845,361890,Ulysses Games
5846,361930,"Alawar Stargaze, Alawar Entertainment"
5847,361950,"Toyman Interactive, Alawar Entertainment"
5848,361970,"Yustas Game Studio, Alawar Entertainment"
5849,361990,Roope Tamminen
5850,362020,Aqualuft Games
5851,362030,Little Games Company
5852,362060,Seth O'Dale
5853,362070,N2Games
5854,362090,Thylacine Studios
5855,362130,Warfare Studios
5856,362140,Warfare Studios
5857,362150,Warfare Studios
5858,362160,Wise Dad Games
5859,362290,RadiationBurn
5860,362300,Daybreak Games
5861,362310,Achebit
5862,362350,Plain Concepts Corp
5863,362370,bitshift
5864,362380,House House
5865,362400,Thomas Bacon
5866,362410,Vertigo Games
5867,362490,Bare Mettle Entertainment
5868,362610,SilentFuture
5869,362620,Coredumping
5870,362660,White Cat
5871,362680,Killmonday Games AB
5872,362740,Casual Box Games
5873,362780,ValuSoft
5874,362790,Chimera Entertainment
5875,362800,Made With Monster Love
5876,362810,PillowPigGames
5877,362830,Z-Software GmbH
5878,362860,Stroboskop
5879,362870,KADOKAWA
5880,362890,Crowbar Collective
5881,362920,"Cryo Interactive, Koalabs"
5882,362930,Artefacts Studios
5883,362940,Emberheart Games
5884,362960,Obsidian Entertainment
5885,363020,Piranha Bytes Distribution UG&Co KG
5886,363050,Humongous Entertainment
5887,363060,Humongous Entertainment
5888,363070,Humongous Entertainment
5889,363090,"KOEI TECMO GAMES CO., LTD."
5890,363110,"KOEI TECMO GAMES CO., LTD."
5891,363130,"KOEI TECMO GAMES CO., LTD."
5892,363150,"KOEI TECMO GAMES CO., LTD."
5893,363180,SmartArt Game Studio
5894,363200,devFluid
5895,363220,"Michael J. Moffitt, Julian J. Hammerstein"
5896,363240,Parabox Games
5897,363270,Egamea Game Studios
5898,363330,World-Loom
5899,363360,Split Polygon
5900,363410,NeoNight
5901,363420,Clever-Plays
5902,363430,devotid
5903,363440,Capcom
5904,363460,Phr00t's Software
5905,363490,Mint Age Studios
5906,363500,"Gregory Avery-Weir, Melissa Avery-Weir"
5907,363510,Michael Flynn
5908,363520,Whalebox Studio
5909,363530,Gabriel Interactive
5910,363550,Kenney
5911,363580,NAMI TENTOU
5912,363600,Daylight Studios
5913,363610,Black Lime Studio
5914,363620,"Liens, Power Up to Maximum"
5915,363650,TEAM TANDS PLUS
5916,363660,Caipirinha Games
5917,363670,Bigosaur
5918,363680,Tindalos Interactive
5919,363790,PigelPix
5920,363840,HexWar Games Ltd
5921,363890,"KADOKAWA, Yoji Ojima"
5922,363900,Greg Lobanov
5923,363920,Nekomura Games
5924,363930,Silent Dreams
5925,363940,Elder Games
5926,363950,Magic Sandbox
5927,363960,HandyGames
5928,363970,Playsaurus
5929,363980,CAVYHOUSE
5930,364000,Lakeview Interactive LLC
5931,364050,"Tlön Studios, Ilex Games"
5932,364060,klobit LLC
5933,364100,Brandon Brizzi
5934,364130,Jordan Sendar
5935,364190,Giant Enemy Labs
5936,364200,Frogames
5937,364230,Shiver Games
5938,364240,nullplussoftware
5939,364250,TRIANGLE SERVICE
5940,364260,"Byte-UP Co., ltd."
5941,364270,John Wizard
5942,364300,Red Beat
5943,364350,Midian Design
5944,364360,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)"
5945,364370,Benjamin Famiglietti
5946,364380,Sven Kohn
5947,364390,Harvester Games
5948,364420,SmashGames
5949,364450,"Nina Freeman, Laura Knetzger, Stephen Lawrence Clark"
5950,364470,"Sparkypants Studios, LLC"
5951,364480,Eerie Games
5952,364510,Kronosaur Productions
5953,364630,Carbon Games
5954,364640,Legend Studio
5955,364660,blizzy Games
5956,364670,The Taco Heaven
5957,364690,KITATUS STUDIOS
5958,364700,"Dan FitzGerald, Trichotomy"
5959,364710,Carlotta Tatti
5960,364720,Team2Bit
5961,364740,MoaCube
5962,364750,exosyphen studios
5963,364770,Dustin Gunn
5964,364790,Peculiar Games
5965,364800,Interplay Entertainment Corp.
5966,364810,Interplay Entertainment Corp.
5967,364820,Interplay Entertainment Corp.
5968,364830,"Tenwall Creatives, Inc."
5969,364840,Urbanscan
5970,364850,JhonGames
5971,364880,Chris Mailloux
5972,364890,Jake Olson
5973,364900,Seven Sails Games
5974,364910,Black Lime Studio
5975,364930,Zoo Corporation
5976,364940,Rhema Press
5977,364970,Ambiera e.U.
5978,364980,Tindalos Interactive
5979,365020,Andrii Vintsevych
5980,365050,Stephane Bottin
5981,365060,Silver Goblet Games
5982,365070,DeXP
5983,365080,Locomotivah
5984,365090,Patrick God
5985,365110,JAMgames
5986,365120,Adam Mowery
5987,365140,"REFUGIO3D®, Claudio Panzanaro"
5988,365150,Synter Games
5989,365160,Parabole
5990,365190,SkyBox Labs
5991,365200,Pop Sandbox
5992,365210,Choice of Games
5993,365240,cybercritics
5994,365260,Panic Ensues Software
5995,365270,Jeff Trier
5996,365280,Questtracers
5997,365290,Morphodox Studios
5998,365300,"Shokunin, Thomas M. Visser, Vincent Thiele"
5999,365310,Screeching Wizard
6000,365320,HKFiftyOne Games
6001,365330,Blaze Epic
6002,365340,Blaze Epic
6003,365350,"Chu-3, Bakufu Narayama"
6004,365360,Overhype Studios
6005,365400,LemonOrange
6006,365420,Digital Entertainment
6007,365430,Thomas Gwaltney
6008,365440,Ian D. Martin
6009,365450,Team Fractal Alligator
6010,365460,OM ENTERTAINMENT
6011,365480,Witching Hour Studios
6012,365500,undef
6013,365510,Perro Electrico
6014,365560,Shenandoah Studio
6015,365580,J. King-Spooner
6016,365590,Massive Entertainment
6017,365620,iEntertainment Network Inc
6018,365660,Roll7
6019,365670,Blender Foundation
6020,365680,Bloober Team SA
6021,365730,Prelusion Games
6022,365750,HB Studios
6023,365760,Super Icon Ltd
6024,365770,Bithell Games
6025,365800,VoxelStorm
6026,365810,ACE MADDOX
6027,365850,Nonlinear
6028,365860,tjern
6029,365870,Team Kryll
6030,365880,"Kelkafa Studios, Cardboard Sword Limited, Jet Stone Studios"
6031,365890,Cat Rabbit
6032,365900,Retronic Games
6033,365930,Garage Monkey Studio
6034,365960,Studio 397
6035,365980,ORBI Games
6036,366000,"Digits Crossed Interactive, LLC"
6037,366010,LionSword
6038,366040,Ginger Labs LLC
6039,366050,Bolder Games
6040,366060,Rage Monster Games
6041,366090,Pipliz
6042,366100,Epic LLama
6043,366180,Ben Aprigliano
6044,366210,Bad Seed
6045,366220,Code Club AB
6046,366230,"SNK CORPORATION, DotEmu"
6047,366240,"SNK CORPORATION, DotEmu"
6048,366250,DotEmu
6049,366260,"SNK CORPORATION, DotEmu"
6050,366270,"SNK CORPORATION, DotEmu"
6051,366280,"SNK CORPORATION, DotEmu"
6052,366290,Dangerous Derk Interactive
6053,366320,Swing Swing Submarine
6054,366350,IronDrop Studios
6055,366380,Circletempo
6056,366410,Ludomo Gamestudio
6057,366440,"S2 Games, LLC"
6058,366460,"ElevenSeventy, LLC"
6059,366510,Hammer Glass Studio
6060,366530,Grzegorz Slazinski
6061,366550,Martin Veilleux
6062,366570,CastleAbra Studios
6063,366580,Velsina Productions
6064,366590,Peter Gutenko
6065,366600,EpicHouse Studios LLC
6066,366610,"Ben Aprigliano, Stefan Evers"
6067,366620,Bunnycopter
6068,366640,Enigami
6069,366670,Totem Studio
6070,366690,Bulldog Interactive
6071,366700,DreamsSoftGames
6072,366760,White Rabbit Games
6073,366780,Pomera Studios
6074,366800,"Vasily Voronkov, Ryan Joseph, Peter Kosyh"
6075,366810,Grzegorz Slazinski
6076,366860,Digital Soul Games
6077,366870,"Honor Code, Inc."
6078,366890,Freshtrax
6079,366910,Daedalic Studio West
6080,366920,Pistachi Studio
6081,366960,UD
6082,366970,WayForward
6083,366990,"Ninai Games, YeaBoing"
6084,367000,Pixel Prophecy
6085,367010,TripleBrick
6086,367020,Unwonted Studios
6087,367030,vikingfabian.com
6088,367040,SimplexGameStudio
6089,367050,GamePhase
6090,367060,Only Human Studios
6091,367080,Wizard Fu
6092,367110,The Pompous Pixel
6093,367120,Michaela Laws
6094,367140,Andrew Willman
6095,367220,magnussoft
6096,367240,Dark Amber Softworks
6097,367260,Dwarves Might Fly
6098,367270,Strangely Interactive Ltd
6099,367300,Soul Forge
6100,367340,"Rogue Star, Boreal Sun, Spider, Deadman"
6101,367350,Jon Harwood Creations LLC
6102,367430,HYPYRYL
6103,367450,Dry Cactus
6104,367500,Capcom
6105,367520,Team Cherry
6106,367550,Alternative Software Ltd
6107,367570,"Maciej Targoni, Wojciech Wasiak"
6108,367580,"Maciej Targoni, Wojciech Wasiak"
6109,367600,Skyshine Games
6110,367660,nornware AB
6111,367670,Koga Tech Limited
6112,367700,Zhoori Maang Entertainment
6113,367710,"Autobotika, Game Nation Inc"
6114,367780,"Soloweb Studios, Ravens Eye Studio"
6115,367800,BIT-GEN
6116,367820,UNIT9
6117,367990,khos85
6118,368000,No Goblin
6119,368050,Chocoarts
6120,368070,CI Games
6121,368080,Kiro'o Games
6122,368140,desunoya
6123,368150,IDHAS Studios
6124,368160,Spicy Tails
6125,368180,Studio Monolith
6126,368220,Matrix Games
6127,368230,"Noio, Licorice"
6128,368250,Warfare Studios
6129,368290,Zeritum
6130,368310,Ketos Games
6131,368340,Radical Fish Games
6132,368360,Robot Gentleman
6133,368370,Sam Barlow
6134,368390,Spooky Doorway
6135,368430,Antagonist
6136,368450,Vladimir Kudelka
6137,368470,"Axis Game Factory, Inc."
6138,368500,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios"
6139,368570,2 players
6140,368590,K Bros Games
6141,368600,Looking Glass Studios
6142,368610,dustinaux
6143,368620,Lunar Ray Games
6144,368640,"Nippon Ichi Software, Inc."
6145,368650,RAC7 Games
6146,368670,Individual Software
6147,368680,Cybernate
6148,368690,Zed-ex
6149,368700,Ben Hendel-Doying
6150,368710,Yang Sun
6151,368720,Digital Dawn Studios
6152,368730,tinyBuild
6153,368740,Varkian Empire
6154,368760,Serious Games Interactive
6155,368770,Serious Games Interactive
6156,368780,Serious Games Interactive
6157,368800,"Hoplon, Izyplay Game Studio"
6158,368830,"Pixel Barrage Entertainment, Inc."
6159,368860,Svajūnas Žemaitis
6160,368880,"Caipirinha Games, DevQ1"
6161,368890,GATO STUDIO
6162,368950,Emad
6163,368970,Mad Goblin Games
6164,368980,"Wicked Fun, Inc."
6165,368990,AGC
6166,369000,Drixy Games
6167,369030,Manipulation Machine
6168,369060,MachineSpirit
6169,369070,Andrew Gilmour
6170,369080,Seattletek
6171,369100,Imran Arafat
6172,369110,Size Five Games
6173,369120,"Jeroen van Oosten, Milan Kazarka"
6174,369180,MobileBits
6175,369190,Tall Studios
6176,369230,Vicious Cycle Software
6177,369270,Timedrop Studios
6178,369280,Gunnar Games
6179,369290,Big Fat Simulations Inc.
6180,369310,Retrocade.net
6181,369360,Pen and Sword Games
6182,369370,Random Thoughts Entertainment
6183,369390,NorbSoftDev
6184,369400,Eforb
6185,369420,Tap It Games
6186,369440,Toadman Interactive
6187,369460,Professor Why
6188,369530,Iteration 11
6189,369550,Blacksea Odyssey
6190,369560,Scarecrow Arts
6191,369570,Gateway Interactive
6192,369580,NotGames
6193,369640,Fernando Paulo
6194,369700,Arcanity Inc
6195,369830,Burst
6196,369840,q-bit Games
6197,369860,Flaming Pumpkin Ltd
6198,369890,Daniel Fernandez Chavez
6199,369990,"Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment"
6200,370020,Trese Brothers
6201,370040,John Wizard
6202,370050,Playito.com
6203,370060,Riff Studios
6204,370070,Andrettin
6205,370080,Pugsley LLC
6206,370090,Axis Games
6207,370120,Circuit Hive
6208,370130,Dracula's Cave
6209,370140,Namazu Studios
6210,370150,John Cullen
6211,370160,Homemade Games
6212,370170,phime studio LLC
6213,370190,Pribuni
6214,370200,Kristen Cheely
6215,370210,Think Heavy Ltd.
6216,370220,Still Games
6217,370240,Visual Concepts
6218,370270,Digital Concepts
6219,370280,橘子班
6220,370300,Critical Games
6221,370310,DreamsSoftGames
6222,370330,13 Unicorns Studio
6223,370350,Oriolus Software GmbH
6224,370360,Zachtronics
6225,370390,DEKDEV
6226,370440,Oldmoustache Gameworks
6227,370460,EXAMU Inc.
6228,370480,Serenity Forge
6229,370490,Daisy Maze Games
6230,370510,"Bimboosoft Co.,Ltd."
6231,370540,2by3 Games
6232,370550,10tons Ltd
6233,370560,Shinypix
6234,370570,Purple Nebula
6235,370590,Queen Birdface Productions
6236,370600,Scarab Entertainment
6237,370620,Valkyria Games
6238,370640,Warfare Studios
6239,370660,Warfare Studios
6240,370670,Aldorlea Games
6241,370700,Warfare Studios
6242,370710,Warfare Studios
6243,370730,"KOEI TECMO GAMES CO., LTD."
6244,370750,Zinnusl
6245,370770,BitCake Studio
6246,370780,Warfare Studios
6247,370800,Super X Studios LLC
6248,370840,Wicked Witch Software
6249,370870,Auroch Digital
6250,370910,Clifftop Games
6251,370920,Bento-Studio
6252,370940,"MindShaft Games, LLC"
6253,370970,Carlo D'Apostoli Projects
6254,371000,Smyowl
6255,371010,Autarca
6256,371100,Corrosive Studios LLC
6257,371120,YGGDRASIL STUDIO
6258,371140,GUTS Department
6259,371180,"Wisdom Tree, Inc."
6260,371190,Muzzy Lane Software
6261,371200,"Massive Damage, Inc."
6262,371210,Wareberd
6263,371220,Koya Game
6264,371280,"Vertex Games, S.C."
6265,371300,Prologue Games
6266,371310,Galaxy Gate
6267,371320,"Atixx, ClorithStudio"
6268,371330,Cleverweek
6269,371360,Ghost Machine
6270,371370,Omega Games
6271,371380,SmashRiot LLC
6272,371390,Psychotic Psoftware
6273,371400,Modesto A. Rabena
6274,371410,Alrauna Studios
6275,371420,Forever Entertainment S. A.
6276,371430,Orangepixel
6277,371450,Badland Development Studio
6278,371460,Creobit
6279,371500,Deion Mobile
6280,371510,SIEIDI Ltd
6281,371520,Corbie Games
6282,371530,SimaGames
6283,371550,No Pest Productions
6284,371570,VaragtP
6285,371620,Jason Carter
6286,371650,"Chance6 Studios, LLC"
6287,371660,Ubisoft
6288,371670,Mystik'Art
6289,371690,a REGULAR GAMER
6290,371700,Fun Infused Games
6291,371710,Anarchy Enterprises
6292,371790,Rakesh Malik
6293,371850,"Sports Mogul, Inc."
6294,371880,Binary Cocoa
6295,371890,Orangepixel
6296,371900,MichaelArts
6297,371970,Turning Wheel LLC
6298,372000,"IMCGAMES Co.,Ltd."
6299,372030,Wickworks
6300,372060,Formosoft International
6301,372080,Slashware Interactive
6302,372150,Recotechnology S.L.
6303,372160,santasco.com
6304,372190,Aratog LLC
6305,372210,Russpuppy
6306,372250,Long Division LLC
6307,372330,Straywire
6308,372340,Cellbloc Studios
6309,372350,"The Dirigiballers, LLC"
6310,372360,BANDAI NAMCO Entertainment Inc.
6311,372380,Estudio Raed Wulf
6312,372390,D3DGear Technologies
6313,372430,Hobbisoft
6314,372480,Dreamatrix
6315,372490,SGS Team
6316,372540,Basaltic studio
6317,372560,Trickster Games
6318,372570,Spline Games
6319,372590,Ignishot
6320,372670,Omega Games
6321,372690,Blake Garner
6322,372720,Tap To Win
6323,372740,Kobra Studio
6324,372750,Kobra Studio
6325,372770,Three Prong Productions
6326,372780,Pixel Pi Games
6327,372800,Marxnet
6328,372820,Technomancy Studios
6329,372830,Bread Vision Studios LLC.
6330,372890,Cateia Games
6331,372930,FIVE-BN GAMES
6332,372940,FIVE-BN GAMES
6333,372950,Professor Why
6334,372960,Level Eight AB
6335,372970,Untouch
6336,372980,Cosmi
6337,373000,Individual Software
6338,373120,Protomni Multimedia
6339,373140,For All To Play
6340,373180,Hello There AB
6341,373240,Deck13
6342,373290,Rain Pohlak
6343,373330,Mannequin Games LLC
6344,373360,Raven Travel Studios
6345,373390,Baggy Cat Ltd
6346,373420,Larian Studios
6347,373440,John Wizard
6348,373460,Spectral Games
6349,373470,Lost Decade Games
6350,373480,Modesty
6351,373600,Mommy's Best Games
6352,373610,Mommy's Best Games
6353,373620,Mommy's Best Games
6354,373630,Mommy's Best Games
6355,373640,Jolly Crouton Media Ltd.
6356,373650,nDreams
6357,373670,DreamsSoftGames
6358,373720,Winch Gate Property Limited
6359,373730,Sergey Bobrov
6360,373750,Capribyte Studios
6361,373770,△○□× (Miwashiba)
6362,373800,"Fancy Bytes, Reactor"
6363,373810,"Fancy Bytes, Reactor"
6364,373820,"Fancy Bytes, Reactor"
6365,373860,Space Monkey International
6366,373870,Space Monkey International
