id,appid,positive,negative
3384,292570,359,164
3385,292600,610,38
3386,292620,264,257
3387,292630,470,2295
3388,292660,67,23
3389,292670,50,12
3390,292730,7821,10570
3391,292760,18,6
3392,292780,121,4
3393,292800,153,5
3394,292820,25,46
3395,292840,30,2
3396,292860,17,6
3397,292880,74,11
3398,292910,2552,359
3399,292930,468,135
3400,292990,413,74
3401,293160,107,53
3402,293180,1570,1027
3403,293200,43,27
3404,293220,498,397
3405,293240,401,44
3406,293260,3146,499
3407,293320,480,415
3408,293340,66,58
3409,293360,0,0
3410,293400,20,65
3411,293420,29,13
3412,293440,113,37
3413,293460,93,40
3414,293480,84,156
3415,293520,360,153
3416,293540,1129,606
3417,293600,36,42
3418,293660,345,42
3419,293680,571,69
3420,293720,27,91
3421,293740,250,50
3422,293760,1529,295
3423,293780,3757,156
3424,293840,220,212
3425,293860,342,211
3426,293880,167,26
3427,293900,205,19
3428,293920,32,36
3429,293940,210,116
3430,293960,38,18
3431,293980,6,2
3432,294000,251,42
3433,294020,297,142
3434,294040,980,340
3435,294060,86,35
3436,294100,38556,857
3437,294140,856,170
3438,294160,656,118
3439,294190,9,12
3440,294230,501,109
3441,294280,14,17
3442,294370,318,103
3443,294390,35,34
3444,294440,469,63
3445,294460,124,24
3446,294530,124,4
3447,294540,117,8
3448,294550,50,1
3449,294570,55,5
3450,294580,24,6
3451,294590,113,9
3452,294650,88,8
3453,294660,333,14
3454,294670,132,14
3455,294680,74,2
3456,294690,33,6
3457,294700,24,17
3458,294710,30,2
3459,294720,46,9
3460,294730,37,6
3461,294750,220,56
3462,294770,25,20
3463,294790,42,25
3464,294810,998,88
3465,294830,89,127
3466,294860,8862,838
3467,295110,47649,33337
3468,295250,124,270
3469,295490,84,39
3470,295550,833,386
3471,295590,114,90
3472,295610,47,71
3473,295630,78,17
3474,295650,2,0
3475,295670,215,76
3476,295690,1178,146
3477,295710,187,240
3478,295730,184,37
3479,295750,301,68
3480,295770,257,85
3481,295790,5175,1224
3482,295850,258,110
3483,295870,52,20
3484,295910,72,24
3485,295930,252,301
3486,295950,664,323
3487,295990,36,88
3488,296010,75,16
3489,296030,32,7
3490,296050,535,241
3491,296070,839,397
3492,296150,24,53
3493,296180,46,23
3494,296210,42,21
3495,296220,228,57
3496,296240,449,86
3497,296280,36,55
3498,296300,4645,1475
3499,296470,6341,329
3500,296490,2179,88
3501,296510,53,21
3502,296530,37,61
3503,296550,93,20
3504,296570,770,160
3505,296590,18,25
3506,296630,318,119
3507,296650,47,22
3508,296710,1451,167
3509,296730,123,43
3510,296770,659,408
3511,296790,28,6
3512,296810,4,1
3513,296830,793,546
3514,296850,32,22
3515,296870,1686,163
3516,296890,46,10
3517,296910,1342,479
3518,296930,146,40
3519,296970,2013,150
3520,297000,4673,2161
3521,297020,2400,837
3522,297060,126,16
3523,297070,14,11
3524,297080,12,9
3525,297100,55,110
3526,297110,920,127
3527,297120,951,185
3528,297130,3556,981
3529,297210,277,75
3530,297290,167,38
3531,297310,98,57
3532,297330,67,57
3533,297350,451,169
3534,297370,109,12
3535,297410,37,7
3536,297450,99,69
3537,297470,212,73
3538,297490,244,31
3539,297570,40,22
3540,297590,64,1
3541,297620,30,17
3542,297660,46,4
3543,297720,103,55
3544,297740,33,24
3545,297750,191,111
3546,297760,215,50
3547,297860,717,207
3548,297920,204,77
3549,298020,17,25
3550,298030,1274,56
3551,298050,2961,1290
3552,298110,17082,4740
3553,298140,61,32
3554,298160,1090,301
3555,298180,752,69
3556,298220,15,23
3557,298240,4795,3264
3558,298260,3752,2137
3559,298280,110,13
3560,298340,124,87
3561,298360,116,8
3562,298380,6,3
3563,298400,388,28
3564,298420,11,3
3565,298480,317,106
3566,298520,1488,298
3567,298560,226,49
3568,298600,2092,181
3569,298610,1900,847
3570,298630,11629,1432
3571,298790,38,4
3572,298820,36,7
3573,298830,28,4
3574,298840,22,4
3575,298850,21,12
3576,298900,2989,2639
3577,298930,275,86
3578,298950,98,43
3579,299020,24,10
3580,299030,1025,110
3581,299050,119,109
3582,299070,106,9
3583,299090,13,14
3584,299100,1,5
3585,299110,143,34
3586,299150,67,32
3587,299160,53,12
3588,299170,12,19
3589,299180,39,34
3590,299250,221,316
3591,299260,263,256
3592,299340,100,120
3593,299360,10856,3196
3594,299380,11,2
3595,299400,128,17
3596,299420,193,115
3597,299440,52,23
3598,299460,3824,1878
3599,299480,598,254
3600,299500,270,183
3601,299540,306,49
3602,299580,38,18
3603,299600,158,102
3604,299660,403,38
3605,299680,1024,253
3606,299720,937,179
3607,299740,17255,7903
3608,299780,109,57
3609,299800,54,5
3610,299820,6,42
3611,299840,10,38
3612,299910,36,32
3613,299950,605,156
3614,300040,441,454
3615,300060,779,601
3616,300080,1692,1646
3617,300160,7,21
3618,300220,265,163
3619,300260,195,89
3620,300280,67,27
3621,300300,517,58
3622,300320,86,70
3623,300340,192,28
3624,300360,53,30
3625,300380,4788,1056
3626,300400,89,13
3627,300510,11,31
3628,300540,58,62
3629,300550,3488,398
3630,300570,1511,92
3631,300580,333,120
3632,300610,129,129
3633,300620,14,0
3634,300630,66,32
3635,300760,62,45
3636,300820,101,90
3637,300840,69,5
3638,300900,37,65
3639,300910,6,22
3640,300970,268,214
3641,301050,72,35
3642,301120,723,137
3643,301150,318,58
3644,301190,715,127
3645,301200,592,110
3646,301220,21,137
3647,301250,3,8
3648,301260,31,6
3649,301300,241,6
3650,301320,402,43
3651,301360,37,53
3652,301380,115,9
3653,301420,31,12
3654,301460,459,104
3655,301500,44,27
3656,301520,80360,30987
3657,301540,60,68
3658,301610,399,60
3659,301640,8472,1330
3660,301650,515,54
3661,301670,38,8
3662,301680,34,57
3663,301690,174,162
3664,301700,146,82
3665,301730,35,33
3666,301740,111,53
3667,301750,541,491
3668,301760,48,49
3669,301830,55,6
3670,301840,267,62
3671,301860,2223,776
3672,301910,5203,1843
3673,301920,81,4
3674,301930,23,2
3675,301970,1157,99
3676,301980,61,27
3677,301990,52,25
3678,302010,257,293
3679,302060,227,122
3680,302080,923,339
3681,302110,72,20
3682,302160,50,35
3683,302170,22,21
3684,302180,64,24
3685,302190,93,50
3686,302210,64,21
3687,302240,95,352
3688,302250,229,518
3689,302260,33,58
3690,302270,823,780
3691,302290,7,11
3692,302310,73,98
3693,302320,12,13
3694,302330,34,15
3695,302340,22,6
3696,302350,51,2
3697,302360,23,2
3698,302370,10,15
3699,302380,3262,139
3700,302390,42,76
3701,302440,33,34
3702,302460,28,36
3703,302470,52,28
3704,302490,122,15
3705,302510,14966,2939
3706,302570,14,33
3707,302590,2432,424
3708,302610,1288,105
3709,302650,70,19
3710,302670,5787,2144
3711,302690,371,66
3712,302710,925,137
3713,302730,72,15
3714,302750,87,2
3715,302790,752,60
3716,302810,29,4
3717,302830,15821,11583
3718,302850,57,42
3719,302870,16,13
3720,302910,34,60
3721,302950,60,50
3722,302970,69,15
3723,303210,12791,2036
3724,303260,54,52
3725,303290,295,40
3726,303310,659,17
3727,303340,42,28
3728,303390,4845,3470
3729,303430,425,31
3730,303470,86,41
3731,303510,81,91
3732,303530,23,11
3733,303550,176,20
3734,303590,300,4
3735,303610,498,90
3736,303680,134,20
3737,303690,134,35
3738,303710,8,17
3739,303720,42,15
3740,303790,369,141
3741,303800,638,172
3742,303830,16,52
3743,303840,125,52
3744,303860,38,12
3745,303870,20,35
3746,303880,10,18
3747,303910,15,11
3748,303940,105,28
3749,304030,3195,3033
3750,304050,47897,13708
3751,304150,6,29
3752,304170,34,154
3753,304190,1,3
3754,304240,6313,661
3755,304290,127,28
3756,304350,247,114
3757,304390,34790,25920
3758,304410,1947,68
3759,304430,19660,934
3760,304460,250,113
3761,304500,128,26
3762,304530,1808,1264
3763,304540,34,8
3764,304580,119,170
3765,304650,5331,1103
3766,304670,275,70
3767,304690,0,0
3768,304730,1947,1143
3769,304750,2,24
3770,304810,6,9
3771,304850,28,1
3772,304910,155,40
3773,304930,292574,31482
3774,304950,303,77
3775,304970,1,0
3776,305010,9,30
3777,305050,2970,640
3778,305070,184,116
3779,305260,2565,799
3780,305280,20,2
3781,305380,1068,104
3782,305390,24,29
3783,305460,13,9
3784,305480,22,16
3785,305490,48,22
3786,305500,75,57
3787,305510,49,60
3788,305620,45856,4298
3789,305640,356,162
3790,305660,20,31
3791,305700,7,7
3792,305720,11,4
3793,305740,56,42
3794,305760,118,1
3795,305780,111,31
3796,305800,57,31
3797,305820,37,12
3798,305840,50,133
3799,305860,25,14
3800,305880,24,3
3801,305920,252,37
3802,305940,386,171
3803,305960,311,352
3804,305980,154,136
3805,306000,41,50
3806,306020,3808,347
3807,306040,1604,436
3808,306130,33719,11672
3809,306200,215,58
3810,306260,23,31
3811,306290,183,38
3812,306350,245,89
3813,306370,39,29
3814,306410,604,333
3815,306440,56,58
3816,306480,28,10
3817,306490,87,62
3818,306550,205,43
3819,306620,27,27
3820,306630,129,41
3821,306640,94,12
3822,306660,1896,424
3823,306670,116,357
3824,306680,233,75
3825,306700,192,24
3826,306760,1807,449
3827,306930,24,46
3828,306950,43,29
3829,307010,205,39
3830,307030,20,1
3831,307050,1635,630
3832,307070,920,196
3833,307090,208,68
3834,307110,1402,243
3835,307130,127,97
3836,307150,24,23
3837,307170,301,192
3838,307190,71,31
3839,307210,46,31
3840,307230,1735,349
3841,307270,23,19
3842,307290,1149,774
3843,307340,280,28
3844,307350,176,273
3845,307410,11,28
3846,307430,66,26
3847,307560,10,4
3848,307570,118,50
3849,307580,812,44
3850,307590,248,48
3851,307600,55,31
3852,307620,50,41
3853,307640,331,97
3854,307670,2113,583
3855,307690,15529,1904
3856,307760,141,107
3857,307770,28,15
3858,307780,21484,7154
3859,307880,3196,2613
3860,307900,22,8
3861,307920,19,7
3862,307930,36,25
3863,307940,265,96
3864,307960,1571,653
3865,307980,33,18
3866,307990,39,44
3867,308000,219,87
3868,308040,1497,342
3869,308060,623,190
3870,308080,83,32
3871,308173,260,91
3872,308180,15,3
3873,308270,279,68
3874,308330,67,15
3875,308360,45,9
3876,308380,22,25
3877,308400,3,0
3878,308420,2675,405
3879,308440,80,6
3880,308460,131,53
3881,308520,40,36
3882,308540,2,2
3883,308560,27,10
3884,308580,324,86
3885,308600,623,127
3886,309900,29,7
3887,310060,912,160
3888,310070,56,55
3889,310080,5235,328
3890,310110,112,97
3891,310360,1383,50
3892,310370,5251,1821
3893,310390,72,11
3894,310450,31,58
3895,310460,6,21
3896,310470,705,902
3897,310490,164,31
3898,310510,920,219
3899,310560,17632,2496
3900,310640,4,22
3901,310700,438,54
3902,310740,180,43
3903,310790,910,100
3904,310810,52,18
3905,310830,10,2
3906,310850,130,195
3907,310870,15,79
3908,310880,24,38
3909,310890,405,365
3910,310950,8300,8498
3911,310970,20,8
3912,310990,5,3
3913,311010,606,93
3914,311040,63,74
3915,311060,49,16
3916,311080,44,62
3917,311100,42,12
3918,311120,191,207
3919,311140,199,169
3920,311170,21,23
3921,311190,679,24
3922,311210,36255,23157
3923,311240,1382,128
3924,311250,247,91
3925,311260,1257,1324
3926,311290,2024,802
3927,311310,3117,2029
3928,311340,7953,1692
3929,311400,242,438
3930,311480,569,123
3931,311490,16,15
3932,311560,4303,992
3933,311680,61,25
3934,311690,24947,1573
3935,311720,366,81
3936,311730,4659,2710
3937,311770,435,102
3938,311800,356,21
3939,311820,69,39
3940,311840,29,24
3941,311850,83,34
3942,311860,115,52
3943,311870,992,80
3944,311910,78,56
3945,311930,86,4
3946,311940,3,0
3947,311980,13,59
3948,312010,289,37
3949,312020,3,4
3950,312050,19,23
3951,312150,712,310
3952,312200,485,227
3953,312210,395,474
3954,312220,15,28
3955,312230,238,60
3956,312240,15,3
3957,312280,1456,490
3958,312300,118,10
3959,312310,6,12
3960,312350,135,42
3961,312360,92,47
3962,312370,458,128
3963,312400,3,12
3964,312410,33,7
3965,312420,23,19
3966,312430,129,123
3967,312440,21,14
3968,312450,801,350
3969,312510,64,12
3970,312520,1497,263
3971,312530,16769,755
3972,312540,428,37
3973,312560,188,21
3974,312600,80,35
3975,312610,1544,164
3976,312630,176,58
3977,312640,146,96
3978,312650,161,49
3979,312660,10885,1910
3980,312670,1329,388
3981,312720,111,10
3982,312750,877,183
3983,312780,927,248
3984,312790,125,74
3985,312840,2406,565
3986,312900,80,40
3987,312920,78,28
3988,312960,71,87
3989,312970,76,31
3990,312980,271,38
3991,312990,15084,425
3992,313010,575,1286
3993,313020,2089,288
3994,313040,95,112
3995,313080,310,183
3996,313120,15604,5459
3997,313130,84,64
3998,313140,242,249
3999,313160,10219,1066
4000,313190,4,10
4001,313200,29,18
4002,313210,82,51
4003,313330,15,30
4004,313340,10936,1516
4005,313360,82,27
4006,313390,100,22
4007,313400,258,15
4008,313470,78,14
4009,313480,495,65
4010,313500,444,79
4011,313590,198,63
4012,313620,41,120
4013,313630,1776,430
4014,313650,242,156
4015,313660,53,21
4016,313690,2269,375
4017,313730,2375,174
4018,313740,5905,1567
4019,313780,743,170
4020,313810,134,59
4021,313830,211,104
4022,313870,49,35
4023,313960,13,12
4024,313980,114,40
4025,314000,777,442
4026,314010,536,132
4027,314020,3846,749
4028,314030,390,47
4029,314050,4,2
4030,314070,636,78
4031,314120,19,8
4032,314150,310,219
4033,314160,8859,2282
4034,314180,276,7
4035,314200,80,27
4036,314210,6,38
4037,314220,69,43
4038,314230,1111,76
4039,314240,267,193
4040,314250,464,137
4041,314280,903,601
4042,314290,32,33
4043,314300,14,34
4044,314320,302,79
4045,314330,54,6
4046,314340,50,46
4047,314350,11,0
4048,314360,85,9
4049,314370,86,26
4050,314380,146,120
4051,314410,2301,189
4052,314450,1354,282
4053,314460,31,31
4054,314470,122,22
4055,314500,147,26
4056,314510,75,51
4057,314520,896,571
4058,314530,11,12
4059,314540,25,11
4060,314560,75,42
4061,314570,20,21
4062,314590,55,14
4063,314610,1,0
4064,314630,17,2
4065,314660,2020,284
4066,314710,1367,1389
4067,314720,25,6
4068,314730,9,3
4069,314760,9,12
4070,314770,8,4
4071,314790,1044,173
4072,314810,637,199
4073,314830,490,247
4074,314850,3,24
4075,314950,11,26
4076,314970,1229,334
4077,314980,437,166
4078,315060,205,107
4079,315070,25,95
4080,315080,36,7
4081,315110,77,23
4082,315130,27,31
4083,315240,20,35
4084,315260,314,407
4085,315320,48,101
4086,315330,140,207
4087,315340,131,38
4088,315430,3932,942
4089,315450,29,18
4090,315460,2777,285
4091,315480,4,17
4092,315540,62,55
4093,315550,148,148
4094,315610,22,6
4095,315650,35,17
4096,315660,831,423
4097,315670,170,58
4098,315680,19,36
4099,315810,1966,77
4100,315830,98,18
4101,315840,381,38
4102,315850,129,66
4103,315860,230,106
4104,315920,118,55
4105,315930,47,9
4106,315940,39,23
4107,316010,16599,6912
4108,316020,31,4
4109,316030,69,29
4110,316080,106,14
4111,316140,52,32
4112,316160,63,90
4113,316180,51,33
4114,316240,20,81
4115,316260,72,22
4116,316320,10,11
4117,316370,49,39
4118,316390,3205,4886
4119,316420,14,5
4120,316430,1092,571
4121,316480,98,30
4122,316600,349,27
4123,316610,197,9
4124,316620,7,4
4125,316630,5,1
4126,316660,59,15
4127,316700,7,53
4128,316720,1475,37
4129,316740,28,32
4130,316750,114,276
4131,316790,4129,471
4132,316810,49,43
4133,316830,15,6
4134,316840,45,15
4135,316890,213,118
4136,316930,372,209
4137,316950,34,58
4138,316970,46,44
4139,317020,26,4
4140,317030,93,8
4141,317040,329,28
4142,317060,52,64
4143,317080,14,62
4144,317100,291,84
4145,317250,2006,425
4146,317280,114,32
4147,317290,21,15
4148,317300,135,50
4149,317320,139,9
4150,317330,19,26
4151,317360,9252,786
4152,317370,46,16
4153,317380,47,23
4154,317410,960,337
4155,317440,91,64
4156,317470,2981,1176
4157,317510,787,101
4158,317530,75,52
4159,317580,8,6
4160,317610,46,19
4161,317620,508,212
4162,317710,527,68
4163,317720,13,34
4164,317730,37,54
4165,317820,1251,425
4166,317840,32,8
4167,317920,8,8
4168,317940,131,51
4169,317950,23,21
4170,317970,50,59
4171,318020,1329,836
4172,318090,148,67
4173,318100,1071,1007
4174,318130,1580,54
4175,318220,1028,1119
4176,318230,813,212
4177,318260,70,33
4178,318300,5,7
4179,318310,292,22
4180,318330,103,14
4181,318350,16,15
4182,318430,2998,569
4183,318440,23,20
4184,318480,41,3
4185,318530,826,156
4186,318560,1,5
4187,318570,86,48
4188,318600,3612,1139
4189,318650,68,40
4190,318660,10,5
4191,318680,4,2
4192,318690,81,112
4193,318740,11,3
4194,318860,70,40
4195,318950,17,13
4196,318970,421,72
4197,319050,745,218
4198,319080,71,12
4199,319140,414,150
4200,319150,672,272
4201,319170,92,10
4202,319180,319,203
4203,319210,9,14
4204,319230,98,68
4205,319250,410,42
4206,319270,100,14
4207,319280,174,69
4208,319300,23,6
4209,319320,266,41
4210,319400,137,17
4211,319430,11,19
4212,319450,172,44
4213,319470,212,50
4214,319480,792,89
4215,319510,15784,2179
4216,319550,815,127
4217,319560,286,75
4218,319570,191,293
4219,319630,118634,4496
4220,319730,95,105
4221,319740,248,87
4222,319760,153,20
4223,319780,45,91
4224,319830,741,223
4225,319850,292,61
4226,319910,3619,1819
4227,319970,403,143
4228,320040,1458,440
4229,320090,40,4
4230,320110,41,26
4231,320120,25,21
4232,320140,1673,225
4233,320150,225,47
4234,320240,3130,1333
4235,320300,8238,827
4236,320310,28,70
4237,320320,160,56
4238,320330,40,3
4239,320340,503,498
4240,320400,64,47
4241,320410,2,3
4242,320430,331,83
4243,320520,77,34
4244,320540,408,178
4245,320610,109,30
4246,320630,102,32
4247,320650,42,31
4248,320670,74,21
4249,320690,136,66
4250,320760,586,35
4251,320790,32,39
4252,320820,707,370
4253,320840,255,74
4254,320970,52,36
4255,321030,118,141
4256,321060,136,51
4257,321080,8,7
4258,321150,499,195
4259,321160,17,12
4260,321190,85,7
4261,321210,0,0
4262,321260,442,374
4263,321270,534,153
4264,321290,479,64
4265,321310,1,7
4266,321330,46,17
4267,321350,16,9
4268,321360,2898,1123
4269,321370,52,30
4270,321390,2,12
4271,321400,1710,530
4272,321410,424,78
4273,321450,24,7
4274,321480,828,71
4275,321490,19,38
4276,321540,29,6
4277,321560,122,19
4278,321600,7,47
4279,321610,12,8
4280,321660,18,46
4281,321710,10,4
4282,321800,710,123
4283,321830,152,52
4284,321840,474,116
4285,321870,388,131
4286,321880,12,3
4287,321890,16,2
4288,321920,198,61
4289,321940,22,9
4290,321950,236,242
4291,321960,1438,1665
4292,321980,288,141
4293,322030,1,2
4294,322080,62,20
4295,322110,2591,205
4296,322130,15,3
4297,322170,52737,2990
4298,322190,2660,121
4299,322210,1650,125
4300,322290,513,48
4301,322300,633,430
4302,322330,108601,4206
4303,322410,8,4
4304,322430,1,5
4305,322440,32,32
4306,322450,164,9
4307,322500,14847,2202
4308,322520,561,318
4309,322540,34,40
4310,322550,15,7
4311,322580,10,26
4312,322630,31,32
4313,322680,633,84
4314,322750,184,41
4315,322770,2132,132
4316,322780,2621,1096
4317,322850,192,133
4318,322900,268,113
4319,322910,1158,468
4320,322920,2232,1704
4321,322930,59,22
4322,322950,38,42
4323,322970,132,85
4324,322980,51,42
4325,322990,23,32
4326,323000,6,6
4327,323020,4,1
4328,323040,62,19
4329,323060,1397,616
4330,323190,22952,3202
4331,323220,1662,195
4332,323240,30,33
4333,323250,43,12
4334,323260,16,15
4335,323270,21,17
4336,323280,64,16
4337,323320,3855,382
4338,323370,11133,2966
4339,323380,1048,83
4340,323430,70,33
4341,323450,80,16
4342,323460,314,53
4343,323470,12601,1680
4344,323490,436,38
4345,323580,5325,1470
4346,323620,2,7
4347,323630,172,14
4348,323670,197,44
4349,323680,8,35
4350,323700,29,12
4351,323720,713,258
4352,323780,84,70
4353,323850,8633,1245
4354,323900,332,110
4355,323910,2814,1042
4356,324050,35,30
4357,324070,145,32
4358,324080,2557,605
4359,324090,85,51
4360,324110,37,40
4361,324120,191,72
4362,324140,205,14
4363,324160,1900,40
4364,324170,188,90
4365,324190,92,90
4366,324240,7,8
4367,324260,458,189
4368,324270,3,6
4369,324310,1415,889
4370,324360,7,9
4371,324390,41,10
4372,324400,8,12
4373,324420,40,31
4374,324470,141,39
4375,324510,1153,486
4376,324520,163,43
4377,324570,528,106
4378,324610,18,117
4379,324650,285,83
4380,324680,731,34
4381,324710,165,13
4382,324730,21,7
4383,324740,345,103
4384,324750,45,36
4385,324760,137,167
4386,324770,37,33
4387,324800,10152,1406
4388,324810,3865,1182
4389,325060,109,13
4390,325090,440,115
4391,325110,26,11
4392,325120,578,73
4393,325150,108,15
4394,325160,39,2
4395,325180,225,27
4396,325210,340,125
4397,325300,8,0
4398,325320,41,21
4399,325330,0,5
4400,325370,116,30
4401,325420,591,184
4402,325430,38,43
4403,325470,15,39
4404,325520,299,50
4405,325610,12297,4469
4406,325630,92,109
4407,325730,145,64
4408,325790,81,134
4409,325860,30,11
4410,325870,40,16
4411,325880,35,44
4412,325910,37,4
4413,325930,162,21
4414,326110,9,14
4415,326120,228,60
4416,326130,26,22
4417,326150,513,43
4418,326160,1065,1017
4419,326180,942,484
4420,326190,775,231
4421,326230,14,10
4422,326340,432,197
4423,326360,605,270
4424,326380,35,9
4425,326410,2203,552
4426,326420,9,31
4427,326460,11426,1264
4428,326470,27,10
4429,326480,2780,219
4430,326520,82,23
4431,326590,44,14
4432,326630,40,53
4433,326650,6,40
4434,326670,516,246
4435,326720,139,23
4436,326730,37,39
4437,326840,302,67
4438,326950,258,90
4439,326960,21,2
4440,326990,20,19
4441,327000,2,4
4442,327010,116,210
4443,327030,2132,528
4444,327060,348,109
4445,327070,2646,1211
4446,327090,1512,905
4447,327140,796,26
4448,327150,39,12
4449,327210,21,11
4450,327220,875,119
4451,327260,276,55
4452,327310,235,46
4453,327370,85,13
4454,327380,28,20
4455,327390,69,9
4456,327400,272,30
4457,327410,5987,1147
4458,327440,147,35
4459,327450,27,1
4460,327490,11,26
4461,327500,70,7
4462,327510,742,241
4463,327520,59,23
4464,327560,555,54
4465,327640,767,451
4466,327650,24,32
4467,327670,511,122
4468,327690,5065,1904
4469,327740,318,37
4470,327760,24,4
4471,327860,1234,340
4472,327880,412,49
4473,327890,4088,1174
4474,327910,35,26
4475,327920,14,16
4476,327930,119,9
4477,327940,14,3
4478,327950,102,8
4479,327960,5,18
4480,327980,21,3
4481,328000,9,8
4482,328060,299,279
4483,328070,1224,221
4484,328080,2850,279
4485,328100,150,125
4486,328220,140,210
4487,328270,462,105
4488,328310,29,55
4489,328430,17,9
4490,328440,13,43
4491,328450,27,11
4492,328460,49,24
4493,328470,118,15
4494,328500,398,142
4495,328510,81,16
4496,328550,22,5
4497,328590,174,51
4498,328600,189,103
4499,328640,21,16
4500,328650,9,5
4501,328670,13,33
4502,328680,35,22
4503,328710,72,33
4504,328730,311,20
4505,328740,20,18
4506,328760,1218,96
4507,328780,36,5
4508,328830,45,34
4509,328880,49,59
4510,328890,14,9
4511,328900,37,10
4512,328920,56,13
4513,328930,16,2
4514,328940,283,159
4515,328990,13,24
4516,329000,40,43
4517,329020,138,59
4518,329040,78,17
4519,329050,5036,509
4520,329070,366,67
4521,329110,3198,988
4522,329130,2258,173
4523,329190,109,52
4524,329200,140,60
4525,329240,56,18
4526,329280,75,54
4527,329310,34,17
4528,329320,88,11
4529,329340,11,3
4530,329380,650,198
4531,329430,3894,1224
4532,329440,1000,612
4533,329460,390,40
4534,329480,4,17
4535,329490,2220,425
4536,329610,67,90
4537,329620,11,10
4538,329630,32,1
4539,329640,45,6
4540,329650,144,46
4541,329660,12,4
4542,329670,14,9
4543,329680,11,6
4544,329690,113,15
4545,329770,57,35
4546,329790,184,108
4547,329830,589,218
4548,329860,858,98
4549,329890,26,41
4550,329970,372,49
4551,329980,20,11
4552,330000,70,60
4553,330020,33,0
4554,330070,694,253
4555,330100,140,42
4556,330180,239,60
4557,330270,175,106
4558,330350,286,609
4559,330370,56,16
4560,330390,1061,102
4561,330420,122,35
4562,330450,24,7
4563,330460,261,68
4564,330470,112,51
4565,330500,6,2
4566,330520,8,7
4567,330570,317,208
4568,330580,1101,337
4569,330590,5,3
4570,330620,87,25
4571,330660,51,32
4572,330670,28,3
4573,330680,4,18
4574,330720,117,11
4575,330770,110,29
4576,330820,872,240
4577,330830,14338,697
4578,330840,7958,2407
4579,330880,13,8
4580,330990,180,105
4581,331120,1100,530
4582,331160,197,73
4583,331190,200,47
4584,331200,491,389
4585,331210,21,20
4586,331220,122,33
4587,331290,12,3
4588,331340,103,93
4589,331360,1826,747
4590,331390,133,19
4591,331400,10,37
4592,331440,1599,346
4593,331450,42,22
4594,331460,82,10
4595,331470,31230,1538
4596,331480,1073,126
4597,331500,1180,185
4598,331510,122,26
4599,331570,29,7
4600,331580,39,16
4601,331600,4456,962
4602,331610,14,48
4603,331650,178,75
4604,331670,774,72
4605,331690,610,132
4606,331720,119,31
4607,331750,109,10
4608,331760,54,27
4609,331790,107,65
4610,331870,1473,284
4611,331880,65,72
4612,331910,14,29
4613,331920,155,63
4614,331970,93,5
4615,331980,97,80
4616,332070,1851,1778
4617,332150,2,2
4618,332200,3084,187
4619,332250,167,47
4620,332260,51,9
4621,332270,30,7
4622,332310,9013,2738
4623,332330,71,13
4624,332360,208,55
4625,332370,10,1
4626,332380,73,12
4627,332390,112,17
4628,332400,132,18
4629,332410,96,20
4630,332480,486,93
4631,332490,213,65
4632,332500,3484,3010
4633,332530,68,42
4634,332540,53,3
4635,332570,1514,242
4636,332580,174,26
4637,332610,142,16
4638,332620,113,49
4639,332630,31,5
4640,332650,216,224
4641,332700,47,14
4642,332710,82,67
4643,332730,16,17
4644,332760,14,3
4645,332780,59,96
4646,332790,201,255
4647,332800,8032,851
4648,332810,22,7
4649,332830,77,5
4650,332880,21,4
4651,332950,961,118
4652,333100,33,30
4653,333120,41,59
4654,333130,10,1
4655,333210,181,90
4656,333220,102,42
4657,333250,1425,284
4658,333260,140,3
4659,333290,15,1
4660,333300,585,73
4661,333330,61,16
4662,333340,67,83
4663,333350,30,18
4664,333380,6,12
4665,333390,38,11
4666,333420,4298,1432
4667,333430,85,36
4668,333490,26,4
4669,333510,38,8
4670,333540,19,15
4671,333580,14,2
4672,333600,16160,740
4673,333640,1498,46
4674,333650,25,33
4675,333660,63,44
4676,333690,20,8
4677,333730,17,22
4678,333760,68,15
4679,333870,85,19
4680,333880,200,73
4681,333930,43743,10891
4682,333950,3233,1376
4683,333970,76,27
4684,333980,2112,297
4685,333990,32,8
4686,334030,195,98
4687,334040,868,1357
4688,334070,598,334
4689,334100,24,4
4690,334120,580,533
4691,334140,84,4
4692,334190,187,60
4693,334210,986,310
4694,334230,13329,2112
4695,334260,8,0
4696,334270,33,21
4697,334280,35,24
4698,334290,68,32
4699,334300,110,20
4700,334350,0,0
4701,334410,27,13
4702,334420,852,256
4703,334470,47,37
4704,334480,15,6
4705,334490,22,4
4706,334540,403,33
4707,334560,213,31
4708,334620,32,9
4709,334690,221,65
4710,334710,54,21
4711,334830,32,12
4712,334840,48,9
4713,334850,77,37
4714,334920,873,87
4715,334940,562,20
4716,334960,4,8
4717,334980,27,29
4718,335000,1824,110
4719,335010,46,13
4720,335050,21,98
4721,335070,204,59
4722,335090,35,0
4723,335100,170,58
4724,335120,105,46
4725,335150,229,437
4726,335190,261,54
4727,335200,41,17
4728,335210,11,15
4729,335220,18,11
4730,335240,11701,2227
4731,335300,25959,4289
4732,335310,11,9
4733,335320,99,44
4734,335330,1702,2664
4735,335420,16,4
4736,335430,715,317
4737,335440,1,3
4738,335450,18,1
4739,335460,57,10
4740,335550,18,4
4741,335560,18,1
4742,335570,2,4
4743,335620,1298,167
4744,335660,93,47
4745,335670,7450,344
4746,335690,22,33
4747,335700,152,72
4748,335770,15,8
