id,appid,genre
298,10120,"Action, Casual"
299,10130,Action
300,10140,Sports
301,10150,"Action, Adventure"
302,10180,Action
303,10220,Action
304,10230,Adventure
305,10240,Adventure
306,10250,Simulation
307,10260,Simulation
308,10270,"RPG, Strategy"
309,10460,Action
310,10500,Strategy
311,10520,Sports
312,10680,Action
313,11020,Racing
314,11040,"Adventure, RPG"
315,11050,Adventure
316,11130,Adventure
317,11140,Adventure
318,11150,Adventure
319,11180,"Adventure, Casual"
320,11190,"Adventure, RPG"
321,11200,Action
322,11230,"Casual, Indie, Racing"
323,11240,"Action, Indie, Strategy"
324,11250,"Simulation, Strategy"
325,11260,"Simulation, Strategy"
326,11280,"Action, Casual, Indie"
327,11330,"Casual, Indie"
328,11340,"Action, Indie"
329,11360,Indie
330,11370,"Adventure, Indie"
331,11390,"Action, Racing"
332,11450,RPG
333,11480,Strategy
334,11560,Strategy
335,11590,Simulation
336,11610,"Action, Free to Play, Massively Multiplayer, RPG"
337,11920,Casual
338,12100,Action
339,12110,Action
340,12120,Action
341,12130,Action
342,12140,Action
343,12150,Action
344,12160,Racing
345,12170,Action
346,12180,Action
347,12200,"Action, Adventure"
348,12210,"Action, Adventure"
349,12220,Action
350,12310,"RPG, Casual, Adventure"
351,12320,"Action, RPG"
352,12330,Action
353,12340,Adventure
354,12360,Racing
355,12370,Strategy
356,12380,Strategy
357,12390,Action
358,12420,Strategy
359,12430,Casual
360,12440,Adventure
361,12450,Adventure
362,12460,Strategy
363,12470,Strategy
364,12480,Strategy
365,12500,Casual
366,12510,Strategy
367,12520,Racing
368,12530,"Action, Adventure, Strategy"
369,12540,Casual
370,12560,Simulation
371,12570,
372,12580,
373,12590,Racing
374,12600,Racing
375,12640,RPG
376,12650,"Casual, Simulation"
377,12660,"Casual, Simulation"
378,12670,Simulation
379,12690,"Simulation, Sports"
380,12710,RPG
381,12770,RPG
382,12790,"Action, Adventure"
383,12810,RPG
384,12830,Action
385,12900,Indie
386,13000,"Casual, Indie"
387,13120,
388,13140,Action
389,13200,Action
390,13210,Action
391,13230,Action
392,13240,Action
393,13250,Action
394,13260,
395,13500,"Action, Adventure"
396,13520,Action
397,13530,"Action, Adventure"
398,13540,Action
399,13560,Action
400,13570,Action
401,13580,Action
402,13600,"Action, Adventure"
403,13620,Action
404,13630,Action
405,15000,Action
406,15080,"Action, Adventure"
407,15100,"Action, Adventure"
408,15120,Action
409,15130,"Action, Adventure"
410,15160,Simulation
411,15170,Strategy
412,15190,Action
413,15200,Simulation
414,15210,Simulation
415,15240,Simulation
416,15270,Action
417,15300,Action
418,15320,Simulation
419,15350,Casual
420,15370,Strategy
421,15380,Strategy
422,15390,Action
423,15400,"Strategy, Indie"
424,15500,"Indie, Casual"
425,15520,"Action, Indie, Sports"
426,15540,"Action, Early Access, Indie"
427,15560,"Action, Indie, Sports"
428,15620,Strategy
429,15700,Adventure
430,15710,Adventure
431,15740,"Action, Adventure, Strategy"
432,15750,"Action, Adventure, Strategy"
433,15800,"Indie, Casual"
434,15900,Casual
435,15910,Casual
436,15920,Casual
437,15930,Casual
438,15960,Casual
439,15970,Casual
440,16000,Casual
441,16020,Casual
442,16030,Casual
443,16040,Casual
444,16060,Casual
445,16100,"Casual, Simulation"
446,16110,"Casual, Simulation"
447,16120,"Casual, Simulation"
448,16130,"Casual, Simulation"
449,16180,"Casual, Simulation"
450,16200,"Casual, Simulation"
451,16300,"Indie, Casual"
452,16450,Action
453,16500,"Casual, Indie"
454,16600,"Indie, Racing, Sports"
455,16620,"Indie, Racing, Sports"
456,16710,"Action, Adventure"
457,16720,Action
458,16730,Action
459,16810,Strategy
460,16900,"Action, Indie, Early Access"
461,17080,"Action, Free to Play"
462,17100,"Strategy, Simulation"
463,17120,"Strategy, Simulation"
464,17140,"RPG, Strategy"
465,17180,Strategy
466,17300,Action
467,17330,Action
468,17390,Simulation
469,17410,"Action, Adventure"
470,17430,"Action, Racing"
471,17440,Simulation
472,17450,RPG
473,17460,"Action, RPG"
474,17470,Action
475,17480,Strategy
476,17500,"Action, Free to Play, Indie"
477,17570,"Action, Free to Play, Indie"
478,17580,"Action, Free to Play, Indie"
479,17710,"Action, Strategy"
480,17740,"Action, Free to Play, Strategy"
481,17760,
482,18000,"Adventure, RPG"
483,18020,"Adventure, RPG"
484,18040,"Action, Indie, RPG"
485,18050,"Action, RPG, Indie"
486,18070,"Action, Adventure, RPG"
487,18120,"Action, Casual, Indie, Strategy"
488,18300,"Casual, Indie"
489,18310,
